"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"130" 17 "Hemiptera" "Triozidae" "Triozidae" 2 18 31 31 33 33 35 0 4 2 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"131" 18 "Hemiptera" "Achilidae" "Achilidae" 0 2 2 2 2 2 2 0 0 0 "Saprophagous" "Wood" "Carl-Cedric Coulianos"
"132" 18 "Hemiptera" "Aphrophoridae" "Cercopidae" 6 10 9 9 9 9 10 0 1 1 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"133" 18 "Hemiptera" "Caliscelidae" "Issidae (pars)" 0 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"134" 18 "Hemiptera" "Cicadellidae" "Cicadellidae (pars)" 13 168 302 302 324 324 333 0 31 9 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"135" 18 "Hemiptera" "Cicadidae" "Cicadidae" 0 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"136" 18 "Hemiptera" "Cixiidae" "Cixiidae" 2 6 7 7 8 8 8 0 1 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"137" 18 "Hemiptera" "Delphacidae" "Delphacidae" 0 42 74 74 78 78 79 0 5 1 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"138" 18 "Hemiptera" "Issidae" "Issidae (pars)" 0 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"139" 18 "Hemiptera" "Membracidae" "Membracidae" 1 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
