TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
251783;;;;Trichopria aptera;Trichopria aptera;(Ruthe, 1859);;;https://www.dyntaxa.se/taxon/info/251783;Bofast och reproducerande
251784;;;;Trichopria atrata;Trichopria atrata;Notton, 1994;;;https://www.dyntaxa.se/taxon/info/251784;Bofast och reproducerande
251785;;;;Trichopria basalis;Trichopria basalis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251785;Bofast och reproducerande
251786;;;;Trichopria bifovea;Trichopria bifovea;Kieffer, 1912;;;https://www.dyntaxa.se/taxon/info/251786;Osäkert om påträffad
251787;;;;Trichopria bifoveata;Trichopria bifoveata;Ashmead, 1893;;;https://www.dyntaxa.se/taxon/info/251787;Osäkert om påträffad
251788;;;;Trichopria cameroni;Trichopria cameroni;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251788;Bofast och reproducerande
251789;;;;Trichopria compressa;Trichopria compressa;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251789;Bofast och reproducerande
251790;;;;Trichopria crassiclava;Trichopria crassiclava;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251790;Bofast och reproducerande
251791;;;;Trichopria crassifemur;Trichopria crassifemur;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251791;Bofast och reproducerande
251792;;;;Trichopria credne;Trichopria credne;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251792;Bofast och reproducerande
251793;;;;Trichopria evanescens;Trichopria evanescens;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251793;Bofast och reproducerande
251794;;;;Trichopria halterata;Trichopria halterata;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251794;Bofast och reproducerande
251795;;;;Trichopria hyalinipennis;Trichopria hyalinipennis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251795;Bofast och reproducerande
251796;;;;Trichopria incrassata;Trichopria incrassata;(Jansson, 1955);;;https://www.dyntaxa.se/taxon/info/251796;Bofast och reproducerande
251797;;;;Trichopria modesta;Trichopria modesta;(Ratzeburg, 1848);;;https://www.dyntaxa.se/taxon/info/251797;Bofast och reproducerande
251798;;;;Trichopria morio;Trichopria morio;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251798;Bofast och reproducerande
251799;;;;Trichopria nigra;Trichopria nigra;(Nees, 1834);;;https://www.dyntaxa.se/taxon/info/251799;Bofast och reproducerande
251800;;;;Trichopria nigricornis;Trichopria nigricornis;(Marshall, 1868);;;https://www.dyntaxa.se/taxon/info/251800;Bofast och reproducerande
251801;;;;Trichopria nixoni;Trichopria nixoni;Notton, 1995;;;https://www.dyntaxa.se/taxon/info/251801;Bofast och reproducerande
251802;;;;Trichopria oogaster;Trichopria oogaster;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251802;Bofast och reproducerande
251803;;;;Trichopria sociabilis;Trichopria sociabilis;Masner, 1965;;;https://www.dyntaxa.se/taxon/info/251803;Bofast och reproducerande
251804;;;;Trichopria suspecta;Trichopria suspecta;(Nees, 1834);;;https://www.dyntaxa.se/taxon/info/251804;Bofast och reproducerande
251805;;;;Trichopria tenuicornis;Trichopria tenuicornis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251805;Bofast och reproducerande
251806;;;;Trichopria tritoma;Trichopria tritoma;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251806;Bofast och reproducerande
251807;;;;Trichopria verticillata;Trichopria verticillata;(Latreille, 1805);;;https://www.dyntaxa.se/taxon/info/251807;Bofast och reproducerande
251808;;;;Trichopria wasmanni;Trichopria wasmanni;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251808;Bofast och reproducerande
251809;;;;Viennopria lacustris;Viennopria lacustris;(Schulz, 1911);;;https://www.dyntaxa.se/taxon/info/251809;Bofast och reproducerande
251354;;;;Acanopsilus heterocerus;Acanopsilus heterocerus;(Haliday, 1857);;;https://www.dyntaxa.se/taxon/info/251354;Bofast och reproducerande
251355;;;;Aclista acuta;Aclista acuta;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251355;Bofast och reproducerande
251356;;;;Aclista alticollis;Aclista alticollis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251356;Bofast och reproducerande
251357;;;;Aclista analis;Aclista analis;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251357;Bofast och reproducerande
251358;;;;Aclista angusta;Aclista angusta;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251358;Bofast och reproducerande
251359;;;;Aclista arisba;Aclista arisba;Nixon, 1957;;;https://www.dyntaxa.se/taxon/info/251359;Bofast och reproducerande
