Taxon;Vials;Specimens;CollID
Chiropteromyzidae;0;0;728
Chloropidae;1;1;728
Chyromyidae;0;0;728
Clusiidae;0;0;728
Coelopidae;0;0;728
Coenomyiidae;0;0;728
Conopidae;0;0;728
Diastatidae;0;0;728
Dolichopodidae;0;0;728
Drosophilidae;0;0;728
Dryomyzidae;0;0;728
Empidoidea;1;3;728
Ephydridae;0;0;728
Fanniidae;0;0;728
Gasterophilidae;0;0;728
Helcomyzidae;0;0;728
Heleomyzidae;0;0;728
Heterocheilidae;0;0;728
Hippoboscidae;0;0;728
Hypodermatidae;0;0;728
Lauxaniidae;0;0;728
Lonchaeidae;0;0;728
Lonchopteridae;0;0;728
Megamerinidae;0;0;728
Micropezidae;0;0;728
Milichiidae;1;1;728
Muscidae;1;6;728
Nycteribiidae;0;0;728
Odiniidae;0;0;728
Oestridae;0;0;728
Opetiidae;0;0;728
Opomyzidae;0;0;728
Pallopteridae;0;0;728
Periscelididae;0;0;728
Phaeomyiidae;0;0;728
Phoridae;0;0;728
Piophilidae;0;0;728
Pipunculidae;1;28;728
Platypezidae;0;0;728
Platystomatidae;0;0;728
Pseudopomyzidae;0;0;728
Psilidae;0;0;728
Rhagionidae;0;0;728
Rhinophoridae;0;0;728
Sarcophagidae;0;0;728
Scathophagidae;1;3;728
Scenopinidae;0;0;728
Sciomyzidae;0;0;728
Sepsidae;0;0;728
Sphaeroceridae;0;0;728
Stenomicridae;0;0;728
Stratiomyidae;0;0;728
Strongylophthalmyiidae;0;0;728
Syrphidae;1;1;728
Tabanidae;0;0;728
Tachinidae;1;1;728
Tanypezidae;0;0;728
Tephritidae;0;0;728
Tethinidae;0;0;728
Therevidae;0;0;728
Trixoscelididae;0;0;728
Ulidiidae;0;0;728
Xylomyidae;0;0;728
Xylophagidae;0;0;728
Acarthophthalmidae ;1;1;2097
Acroceridae;0;0;2097
Agromyzidae;1;3;2097
Anthomyiidae;1;61;2097
Anthomyzidae;0;0;2097
Asilidae;0;0;2097
Asteiidae;0;0;2097
Athericidae;0;0;2097
Aulacigasteridae;0;0;2097
Bombyliidae;0;0;2097
Brachystomatidae;0;0;2097
Braulidae;0;0;2097
Calliphoridae;1;17;2097
Camillidae;0;0;2097
Campichoetidae;0;0;2097
Carnidae;1;2;2097
Chamaemyiidae;0;0;2097
Chiropteromyzidae;0;0;2097
Chloropidae;1;27;2097
Chyromyidae;0;0;2097
Clusiidae;0;0;2097
Coelopidae;0;0;2097
Coenomyiidae;0;0;2097
Conopidae;0;0;2097
Diastatidae;0;0;2097
Dolichopodidae;1;13;2097
Drosophilidae;1;43;2097
Dryomyzidae;0;0;2097
Empidoidea;1;449;2097
Ephydridae;0;0;2097
Fanniidae;1;30;2097
Gasterophilidae;0;0;2097
Helcomyzidae;0;0;2097
Heleomyzidae;1;2;2097
Heterocheilidae;0;0;2097
Hippoboscidae;0;0;2097
Hypodermatidae;0;0;2097
Lauxaniidae;1;1;2097
Lonchaeidae;1;4;2097
Lonchopteridae;1;2;2097
Megamerinidae;0;0;2097
Micropezidae;0;0;2097
Milichiidae;1;9;2097
Muscidae;2;144;2097
Nycteribiidae;0;0;2097
Odiniidae;0;0;2097
Oestridae;0;0;2097
Opetiidae;0;0;2097
Opomyzidae;0;0;2097
Pallopteridae;0;0;2097
Periscelididae;0;0;2097
Phaeomyiidae;0;0;2097
Phoridae;0;0;2097
Piophilidae;0;0;2097
Pipunculidae;0;0;2097
Platypezidae;0;0;2097
Platystomatidae;0;0;2097
Pseudopomyzidae;0;0;2097
Psilidae;0;0;2097
Rhagionidae;0;0;2097
Rhinophoridae;0;0;2097
Sarcophagidae;1;3;2097
Scathophagidae;1;24;2097
Scenopinidae;0;0;2097
Sciomyzidae;0;0;2097
Sepsidae;1;1;2097
Sphaeroceridae;1;3;2097
Stenomicridae;0;0;2097
Stratiomyidae;0;0;2097
Strongylophthalmyiidae;0;0;2097
Syrphidae;1;38;2097
Tabanidae;0;0;2097
Tachinidae;1;22;2097
Tanypezidae;0;0;2097
Tephritidae;1;1;2097
Tethinidae;0;0;2097
Therevidae;0;0;2097
Trixoscelididae;0;0;2097
Ulidiidae;0;0;2097
Xylomyidae;0;0;2097
Xylophagidae;0;0;2097
Acarthophthalmidae ;0;0;1329
Acroceridae;0;0;1329
Agromyzidae;1;221;1329
Anthomyiidae;2;106;1329
Anthomyzidae;0;0;1329
Asilidae;1;2;1329
Asteiidae;0;0;1329
Athericidae;0;0;1329
Aulacigasteridae;0;0;1329
Bombyliidae;0;0;1329
Brachystomatidae;0;0;1329
Braulidae;0;0;1329
Calliphoridae;1;5;1329
Camillidae;0;0;1329
Campichoetidae;0;0;1329
Carnidae;0;0;1329
Chamaemyiidae;1;2;1329
Chiropteromyzidae;0;0;1329
Chloropidae;1;31;1329
Chyromyidae;0;0;1329
Clusiidae;1;6;1329
Coelopidae;0;0;1329
Coenomyiidae;0;0;1329
Conopidae;0;0;1329
Diastatidae;0;0;1329
Dolichopodidae;3;375;1329
Drosophilidae;1;5;1329
Dryomyzidae;0;0;1329
Empidoidea;2;510;1329
Ephydridae;1;9;1329
Fanniidae;1;22;1329
Gasterophilidae;0;0;1329
Helcomyzidae;0;0;1329
Heleomyzidae;1;5;1329
Heterocheilidae;0;0;1329
Hippoboscidae;0;0;1329
Hypodermatidae;0;0;1329
Lauxaniidae;1;12;1329
Lonchaeidae;1;9;1329
Lonchopteridae;1;3;1329
Megamerinidae;0;0;1329
Micropezidae;1;9;1329
Milichiidae;0;0;1329
Muscidae;2;97;1329
Nycteribiidae;0;0;1329
Odiniidae;0;0;1329
Oestridae;0;0;1329
