"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"327"	"Camptomyia"	"erythromma"	"(Kieffer, 1888)"	39	1803
"328"	"Camptomyia"	"pinicola"	"Mamaev, 1961"	39	1803
"329"	"Camptomyia"	"unisaetosa"	"Spuņģis, 1989"	39	1803
"330"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	39	1803
"331"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	39	1803
"332"	"Divellepidosis"	"vulgata"	"Jaschhof, 2013"	39	1803
"333"	"Neurepidosis"	"minuta"	"Spuņģis, 1987"	39	1803
"334"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	39	1803
"335"	"Porricondyla"	"fulvescens"	"Panelius, 1965"	39	1803
"336"	"Winnertzia"	"solidaginis"	"Felt, 1907"	39	1803
"337"	"Zaitzeviola"	"rufocinerea"	"(Panelius, 1965)"	39	1803
"338"	"Asynapta"	"magdalini"	"Panelius, 1965"	4	1851
"339"	"Asynapta"	"magdalini"	"Panelius, 1965"	4	1851
"340"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	4	1851
"341"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	4	1851
"342"	"Cassidoides"	"fulvus"	"(Kieffer, 1896)"	4	1851
"343"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	4	1851
"344"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	4	1851
"345"	"Winnertzia"	"parvispina"	"Jaschhof, 2013"	4	1851
"346"	"Winnertzia"	"sp."	"Rondani, 1860"	4	1851
"347"	"Ekmanomyia"	"svecica"	"Jaschhof, 2013"	38	1873
"348"	"Parepidosis"	"venustior"	"Gagné, 2004"	38	1873
"349"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	38	1873
"350"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	38	1873
"351"	"Serratyla"	"spinosa"	"Jaschhof, 2013"	38	1873
"352"	"Serratyla"	"spinosa"	"Jaschhof, 2013"	1008	2000
"353"	"Claspettomyia"	"kirghizica"	"Mamaev, 1998"	2006	2015
"354"	"Parepidosis"	"argentifera"	"(de Meijere, 1906)"	2006	2015
"355"	"Porricondyla"	"nigripennis"	"(Meigen, 1830)"	2006	2015
"356"	"Porricondyla"	"photophila"	"Spuņģis, 1981"	2006	2015
"357"	"Neocolpodia"	"gukasiani"	"(Mamaev, 1990)"	2003	2031
"358"	"Porricondyla"	"oelandica"	"Jaschhof, 2013"	2046	2052
"359"	"Winnertzia"	"brevipalpata"	"Jaschhof, 2013"	2046	2052
"360"	"Winnertzia"	"solidaginis"	"Felt, 1907"	2046	2052
"361"	"Neurepidosis"	"gracilis"	"Spuņģis, 1987"	2046	2058
