"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"101"	"Scambus"	"sp."	"Hartig, 1838"	1	5	71	"2003.vii.14"
"102"	"Dolichomitus"	"sp."	"Smith, 1877"	1	12	894	"2004.viii.09"
"103"	"Endromopoda"	"phragmitidis"	"(Perkins, 1957)"	1	27	471	"2003.ix.15"
"104"	"Gregopimpla"	"sp."	"Momoi, 1965"	1	2006	2029	"2008.vi.05"
"105"	"Dolichomitus"	"sp."	"Smith, 1877"	1	1006	1425	"2005.vii.15"
"106"	"Liotryphon"	"sp."	"Ashmead, 1900"	2	40	1145	"2004.vi.01"
"107"	"Reclinervellus"	"sp."	"He & Ye 1998"	1	7	1590	"2005.v.24"
"108"	"Scambus"	"sp."	"Hartig, 1838"	1	21	238	"2003.vi.25"
"109"	"Zatypota"	"sp."	"Förster, 1869"	1	5	76	"2003.vii.28"
"110"	"Delomerista"	"sp."	"Förster, 1869"	3	7	1590	"2005.v.24"
"111"	"Scambus"	"sp."	"Hartig, 1838"	1	27	470	"2003.ix.01"
"112"	"Scambus"	"sp."	"Hartig, 1838"	4	40	625	"2004.iv.08"
"113"	"Scambus"	"sp."	"Hartig, 1838"	1	5	76	"2003.vii.28"
"114"	"Scambus"	"sp."	"Hartig, 1838"	2	35	1104	"2004.viii.19"
"115"	"Scambus"	"sp."	"Hartig, 1838"	1	5	90	"2003.viii.30"
"116"	"Dolichomitus"	"sp."	"Smith, 1877"	3	1006	1425	"2005.vii.15"
"117"	"Scambus"	"sp."	"Hartig, 1838"	7	22	840	"2005.iv.25"
"118"	"Scambus"	"sp."	"Hartig, 1838"	1	17	968	"2004.vii.13"
"119"	"Scambus"	"sp."	"Hartig, 1838"	1	2006	2029	"2008.vi.05"
"120"	"Dolichomitus"	"sp."	"Smith, 1877"	1	17	1513	"2005.iv.15"
"121"	"Dolichomitus"	"sp."	"Smith, 1877"	1	5	71	"2003.vii.14"
"122"	"Scambus"	"sp."	"Hartig, 1838"	1	5	766	"2004.vii.13"
"123"	"Endromopoda"	"phragmitidis"	"(Perkins, 1957)"	1	8	1560	"2004.vii.29"
"124"	"Zatypota"	"sp."	"Förster, 1869"	1	39	1140	"2004.viii.20"
"125"	"Scambus"	"sp."	"Hartig, 1838"	1	16	1670	"2005.viii.23"
"126"	"Tromatobia"	"ovivora"	"(Boheman, 1821)"	1	43	1912	"2005.viii.25"
"127"	"Scambus"	"sp."	"Hartig, 1838"	1	13	1643	"2005.vii.05"
"128"	"Scambus"	"sp."	"Hartig, 1838"	1	3002	3055	"2014.vii.10"
